x0,top,text,size,fontname
460.7,62.6,5,10.0,BCDFEE+ArialMT
466.0,62.6,5,10.0,BCDFEE+ArialMT
471.6,62.6,0,10.0,BCDFEE+ArialMT
477.1,62.6, ,10.0,BCDFEE+ArialMT
33.6,82.2,S,12.0,BCDFEE+ArialMT
42.2,84.2,K,9.5,BCDFEE+ArialMT
49.1,84.2,I,9.5,BCDFEE+ArialMT
52.0,84.2,L,9.5,BCDFEE+ArialMT
57.6,84.2,L,9.5,BCDFEE+ArialMT
63.2,84.2,S,9.5,BCDFEE+ArialMT
70.2,82.2, ,12.0,BCDFEE+ArialMT
35.0,98.1,L,10.0,BCDEEE+Arial-BoldMT
41.0,98.1,a,10.0,BCDEEE+Arial-BoldMT
46.4,98.1,n,10.0,BCDEEE+Arial-BoldMT
52.4,98.1,g,10.0,BCDEEE+Arial-BoldMT
58.4,98.1,u,10.0,BCDEEE+Arial-BoldMT
64.4,98.1,a,10.0,BCDEEE+Arial-BoldMT
69.8,98.1,g,10.0,BCDEEE+Arial-BoldMT
75.9,98.1,e,10.0,BCDEEE+Arial-BoldMT
81.3,98.1,s,10.0,BCDEEE+Arial-BoldMT
86.9,98.1,:,10.0,BCDFEE+ArialMT
89.7,98.1, ,10.0,BCDFEE+ArialMT
141.1,98.1,C,10.0,BCDFEE+ArialMT
148.2,98.1,+,10.0,BCDFEE+ArialMT
154.0,98.1,+,10.0,BCDFEE+ArialMT
159.7,98.1,",",10.0,BCDFEE+ArialMT
162.4,98.1, ,10.0,BCDFEE+ArialMT
164.8,98.1,C,10.0,BCDFEE+ArialMT
171.9,98.1,",",10.0,BCDFEE+ArialMT
174.6,98.1, ,10.0,BCDFEE+ArialMT
177.3,98.1,P,10.0,BCDFEE+ArialMT
183.7,98.1,y,10.0,BCDFEE+ArialMT
188.7,98.1,t,10.0,BCDFEE+ArialMT
191.4,98.1,h,10.0,BCDFEE+ArialMT
197.0,98.1,o,10.0,BCDFEE+ArialMT
202.3,98.1,n,10.0,BCDFEE+ArialMT
207.8,98.1,",",10.0,BCDFEE+ArialMT
210.5,98.1, ,10.0,BCDFEE+ArialMT
213.2,98.1,J,10.0,BCDFEE+ArialMT
218.1,98.1,a,10.0,BCDFEE+ArialMT
223.5,98.1,v,10.0,BCDFEE+ArialMT
228.4,98.1,a,10.0,BCDFEE+ArialMT
233.9,98.1,",",10.0,BCDFEE+ArialMT
236.6,98.1, ,10.0,BCDFEE+ArialMT
239.2,98.1,J,10.0,BCDFEE+ArialMT
244.1,98.1,a,10.0,BCDFEE+ArialMT
249.5,98.1,v,10.0,BCDFEE+ArialMT
254.6,98.1,a,10.0,BCDFEE+ArialMT
260.1,98.1,S,10.0,BCDFEE+ArialMT
266.6,98.1,c,10.0,BCDFEE+ArialMT
271.5,98.1,r,10.0,BCDFEE+ArialMT
274.7,98.1,i,10.0,BCDFEE+ArialMT
276.9,98.1,p,10.0,BCDFEE+ArialMT
282.3,98.1,t,10.0,BCDFEE+ArialMT
284.9,98.1,",",10.0,BCDFEE+ArialMT
287.7,98.1, ,10.0,BCDFEE+ArialMT
290.3,98.1, ,10.0,BCDFEE+ArialMT
293.0,98.1,H,10.0,BCDFEE+ArialMT
300.0,98.1,T,10.0,BCDFEE+ArialMT
306.1,98.1,M,10.0,BCDFEE+ArialMT
314.4,98.1,L,10.0,BCDFEE+ArialMT
319.8,98.1,",",10.0,BCDFEE+ArialMT
322.5,98.1, ,10.0,BCDFEE+ArialMT
325.2,98.1,C,10.0,BCDFEE+ArialMT
332.3,98.1,S,10.0,BCDFEE+ArialMT
338.9,98.1,S,10.0,BCDFEE+ArialMT
